corpus	endpoint	A	T	P	C	B	D	S	Y	R	F	I	V	L	M	activated_dims
OBIE	OBIE v3.1 CBPII|POST /funds-confirmation-consents	0	0	0	1	0	0	0	0	0	1	0	0	0	0	C,F
OBIE	OBIE v3.1 CBPII|GET /funds-confirmation-consents/{ConsentId}	0	0	0	1	0	0	0	0	0	1	0	0	0	0	C,F
OBIE	OBIE v3.1 CBPII|DELETE /funds-confirmation-consents/{ConsentId}	0	0	0	1	0	0	0	0	0	1	0	0	0	0	C,F
OBIE	OBIE v3.1 CBPII|POST /funds-confirmations	0	0	0	0	0	0	0	0	0	1	0	0	0	0	F
OBIE	OBIE v3.1 VRP|POST /domestic-vrp-consents	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 VRP|GET /domestic-vrp-consents/{ConsentId}	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 VRP|PUT /domestic-vrp-consents/{ConsentId}	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 VRP|DELETE /domestic-vrp-consents/{ConsentId}	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 VRP|PATCH /domestic-vrp-consents/{ConsentId}	0	0	1	1	0	0	0	0	0	0	0	0	0	0	P,C
OBIE	OBIE v3.1 VRP|POST /domestic-vrp-consents/{ConsentId}/funds-confirmation	0	0	1	1	0	0	0	0	0	1	0	0	0	0	P,C,F
OBIE	OBIE v3.1 VRP|POST /domestic-vrps	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 VRP|GET /domestic-vrps/{DomesticVRPId}	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
OBIE	OBIE v3.1 VRP|GET /domestic-vrps/{DomesticVRPId}/payment-details	0	0	1	0	0	0	0	0	0	0	0	0	0	0	P
CDR	AU CDR v1.28 Banking|GET /banking/accounts	1	0	0	0	0	0	0	0	1	0	1	0	0	0	A,R,I
CDR	AU CDR v1.28 Banking|GET /banking/accounts/balances	1	0	0	0	0	0	0	0	1	0	1	0	0	0	A,R,I
CDR	AU CDR v1.28 Banking|POST /banking/accounts/balances	1	0	0	0	0	0	0	0	1	0	0	0	0	0	A,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/balance	1	0	0	0	0	0	0	0	1	0	0	0	0	0	A,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}	1	0	0	0	0	0	0	0	1	0	0	0	0	0	A,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/transactions	1	1	0	0	0	0	0	0	1	0	1	0	0	0	A,T,R,I
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/transactions/{transactionId}	1	1	0	0	0	0	0	0	1	0	0	0	0	0	A,T,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/direct-debits	1	0	0	0	0	1	0	0	1	0	0	0	0	0	A,D,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/direct-debits	1	0	0	0	0	1	0	0	1	0	1	0	0	0	A,D,R,I
CDR	AU CDR v1.28 Banking|POST /banking/accounts/direct-debits	1	0	0	0	0	1	0	0	1	0	0	0	0	0	A,D,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/payments/scheduled	1	0	0	0	0	0	1	0	1	0	0	0	0	0	A,S,R
CDR	AU CDR v1.28 Banking|GET /banking/payments/scheduled	1	0	0	0	0	0	1	0	1	0	1	0	0	0	A,S,R,I
CDR	AU CDR v1.28 Banking|POST /banking/payments/scheduled	1	0	0	0	0	0	1	0	1	0	0	0	0	0	A,S,R
CDR	AU CDR v1.28 Banking|GET /banking/accounts/{accountId}/payments/plans	1	0	0	0	0	0	0	0	1	0	1	1	0	0	A,R,I,V
CDR	AU CDR v1.28 Banking|GET /banking/accounts/payments/plans	1	0	0	0	0	0	0	0	1	0	1	0	0	0	A,R,I
CDR	AU CDR v1.28 Banking|GET /banking/payees	0	0	0	0	1	0	0	0	1	0	0	0	0	0	B,R
CDR	AU CDR v1.28 Banking|GET /banking/payees/{payeeId}	0	0	0	0	1	0	0	0	1	0	0	0	0	0	B,R
CDR	AU CDR v1.28 Banking|GET /banking/products	1	0	0	0	0	0	0	0	1	0	0	0	1	0	A,R,L
CDR	AU CDR v1.28 Banking|GET /banking/products/{productId}	0	0	0	0	0	0	0	0	1	0	0	0	0	0	R
CDR	AU CDR v1.28 Common|GET /common/customer	0	0	0	0	0	0	0	0	1	0	0	0	0	0	R
